PF1,Durant
PF1,Davis
PF2,James
PF2,Paul George
PF2,Millsap
PF2,Cousins
PF2,Draymond Green
PF2,Drummond
PF3,Porzingis
PF3,Horford
PF3,Griffin
PF3,Aldridge
PF4,Dieng
PF4,Carmelo Anthony
PF4,Love
PF4,Ibaka
PF4,Favors
PF4,Parsons
PF4,Crowder
PF4,Pau Gasol
PF4,Jokic
PF4,Batum
PF4,Vucevic
PF4,Noel
PF4,Harris
PF5,Gay
PF5,Myles Turner
PF5,Nowitzki
PF5,Aaron Gordon
PF5,Covington
PF6,Deng
PF6,Thaddeus Young
PF6,Carroll
PF6,Ryan Anderson
PF6,Noah
PF6,Jabari Parker
PF6,Monroe
PF6,Winslow
PF6,Markieff Morris
PF6,Matt Barnes
PF6,Marcus Morris
PF6,Marvin Williams
PF6,Sullinger
PF6,Dwight Howard
PF6,Capela
PF7,Mason Plumlee
PF7,Randolph
PF7,Randle
PF7,Mirotic
PF7,Biyombo
PF7,Amir Johnson
PF7,Gibson
PF7,Henson
PF7,Dudley
